year,mmsi,transmitter_no,raw_registered_gear_type,positions,days,days_on_high_seas,fishing_days,fishing_days_on_high_seas,total_hours,total_fishing_hours,hours_on_high_seas,fishing_hours_on_high_seas
2015,1004915621,4915621,Purse Seine Small Pelagics,8268,161,0,57,0,3123.5416666436013,694.3916666633999,0,0
2015,1000124623,124623,Pole-and-line,5449,177,0,62,0,2990.4833333345987,301.1416666667,0,0
2015,1004534399,4534399,Stick-Held lift net,2152,104,0,35,0,2240.7333333331994,261.9916666666999,0,0
2015,1004582772,4582772,Pole-and-line,5597,265,0,207,0,5823.816666666797,2444.6333333326,0,0
2014,1000124546,124546,Basic longline,4438,111,0,65,0,2264.883333334102,748.4416666676993,0,0
2014,NA,86811703443,Fish net/dragnet,1749,77,0,54,0,1641.5749999974003,1057.4083333320002,0,0
2016,1040510496,40510496,Purse Seine Small Pelagics,3389,152,0,40,0,3230.6749999951994,267.59999999949997,0,0
2014,1004743161,4743161,Fish net/dragnet,2917,139,0,110,0,2957.8416666664007,1631.8666666662007,0,0
2016,1004567845,4567845,Purse Seine Small Pelagics,2911,135,0,33,0,2975.2249999995993,191.9916666665,0,0
2014,1000081518,81518,Fish net/dragnet,15402,317,0,271,0,7285.466666671598,3259.216666666195,0,0
2015,1004583764,4583764,Purse Seine Small Pelagics,4760,207,0,89,0,4267.191666667901,749.5749999996002,0,0
2016,1040510350,40510350,Stick-Held lift net,6187,269,0,26,0,6070.150000004497,123.98333333310005,0,0
2015,1004519224,4519224,Anchored gillnets,8771,50,0,27,0,862.5083332954001,299.29999997600015,0,0
2016,1004956264,4956264,Longline Tuna,4375,189,186,88,88,4352.083333333195,499.6416666667001,4288.583333333195,499.6416666667001
2015,1000087174,87174,Longline Tuna,12279,257,93,198,60,5862.666666669998,1687.1083333346999,1778.0833333351002,359.2583333334001
2014,1000065347,65347,Fish net/dragnet,6408,141,0,123,0,3200.5416666685005,1824.2750000002998,0,0
2014,1000081478,81478,Longline Tuna,16041,365,365,212,212,8333.483333331806,1938.8083333332006,8333.483333331806,1938.8083333332006
2015,1000102958,102958,Purse Seine Small Pelagics,8977,198,0,126,0,4368.7416666695,1019.9666666685,0,0
2015,1004520472,4520472,Anchored gillnets,4794,232,0,186,0,5162.833333330603,2555.883333331798,0,0
2016,NA,86811707378,Basic longline,897,67,0,30,0,1415.766666664199,475.50833333259993,0,0
