year,type,mmsi,imo,call_sign,ship_name,sub_type,flag_state,length,tonnage,engine_power,crew,all_encounters,encounters_with_high_seas_vessels,encounters_in_the_high_seas,distinct_fishing_flags,fraction_with_high_seas_vessels,most_common_flag,aux_engine_power,design_speed_old,design_speed_ihs,main_sfc,main_sfc_low,aux_sfc,gap_hours,gap_days
2016,reefer,431201000,8710728,7JTK,TAISEI MARU 15,Specialized Reefer,Japan,124.25,4969,3844.05,25,27,27,27,2,1,Japan,961.0125,14.2530445164381,14.526184789395423,203,203,217,83.80472222222222,1
2016,reefer,431678000,9086758,JILE,TAISEI MARU 24,Specialized Reefer,Japan,121.23,4992,4579.05,25,27,27,27,2,1,Japan,1144.7625,14.485786090540799,15.170011655521922,203,203,217,31.894444444444446,0
2016,reefer,273512400,8225723,UIMH,TAMBOV,Specialized Reefer,Russia,152.69,12527,6624,23,27,2,0,2,0.07407407407407407,Russia,1656,15.157847768783999,16.742593467903998,250,203,217,25.2675,0
2016,reefer,529837000,7726706,T3SU2,WEI LI,Specialized Reefer,Kiribati,144.35,11243,11030,17,26,26,26,1,1,China,2757.5,16.47170071482,19.037383516099997,203,203,217,127.48361111111112,3
2014,reefer,1004881743,NA,NA,NA,NA,Indonesia,27.13,149,350,31,26,9,0,1,0.34615384615384615,Indonesia,87.5,13.0485619947,10.8970873025,203,203,217,0,0
2016,reefer,273335960,9081631,UGKH,FRIO AGATES,Specialized Reefer,Russia,133.95,6964,5100,23,26,1,0,2,0.038461538461538464,Russia,1275,14.665409671199999,15.601169289999998,250,203,217,0,0
2014,reefer,1004816212,NA,NA,NA,NA,Indonesia,26.92,171,350,31,25,12,14,2,0.48,Indonesia,87.5,13.0490141013,10.8970873025,203,203,217,0,0
2016,reefer,273338510,8509583,UBGF6,CRYSTAL AFRICA,Specialized Reefer,Russia,124.19,7057,5520,22,25,1,0,2,0.04,Russia,1380,14.796582447119999,15.933573241599998,250,203,217,0,0
2016,reefer,636017396,9459591,D5KS2,TAIHO MARU,Specialized Reefer,Liberia,98.28,3858,2950,19,24,24,21,3,1,Taiwan,737.5,13.9552786038,13.6870061225,203,203,217,25.964166666666667,0
2015,reefer,273420240,8729183,UERA,KOMMUNARY NIKOLAYEVA,Specialized Reefer,Russia,133.95,6998,3960,22,24,3,1,3,0.125,Russia,990,14.31134045664,14.630513166399998,250,203,217,0,0
2014,reefer,1000103013,NA,NA,NA,NA,Indonesia,26.75,197,350,31,23,21,19,1,0.9130434782608695,Indonesia,87.5,13.0495484091,10.8970873025,203,203,217,0,0
2014,reefer,1004816217,NA,NA,NA,NA,Indonesia,28.02,168,275.9,31,23,14,15,2,0.6086956521739131,Indonesia,68.975,13.0245335850096,10.80995155631849,203,203,217,0,0
2014,reefer,1004933527,NA,NA,NA,NA,Indonesia,28.85,145,275.9,31,23,14,14,1,0.6086956521739131,Indonesia,68.975,13.024056254919,10.80995155631849,203,203,217,0,0
2016,reefer,273337510,8509571,UBGF5,CRYSTAL ARCTICA,Specialized Reefer,Russia,124.5,7392,5520,22,23,1,0,2,0.043478260869565216,Russia,1380,14.79871779072,15.933573241599998,250,203,217,0,0
