transmitter_no,shipname,begin_date,end_date,registered_gear_type,length,width,num_messages,date_first_broadcast,date_last_broadcast,registered_fishing_region
40408902,TIARA MANDIRI,8/22/2016 0:00:00,8/21/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",21,6.75,2333,9/9/2016 3:31:00,6/14/2017 4:28:00,"712, 713,712, 713"
40408903,RUKUN ARTA SANTOSA,10/16/2016 0:00:00,10/15/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",15.5,5.9,3870,8/29/2016 0:45:00,5/23/2017 5:07:00,"712, 713,712, 713"
40408904,DAMAI JAYA ABADI,10/28/2016 0:00:00,10/27/2017 0:00:00,"Lampara Seine Nets,Purse Seine Small Pelagics",23.9,7.65,1114,2/21/2017 8:31:00,6/12/2017 16:57:00,"712, 713,712, 713"
40408905,ASIA MAKMUR,2/10/2016 0:00:00,2/9/2017 0:00:00,Lampara Seine Nets,17.75,6.3,364,2/22/2017 4:52:00,4/23/2017 20:57:00,"712, 713"
40408905,KM ASIA MAKMUR,2/10/2016 0:00:00,2/9/2017 0:00:00,Purse Seine Small Pelagics,17.75,6.3,3265,1/7/2016 2:03:00,6/20/2017 23:46:00,"712, 713"
40408906,JOKO KENDIL BARU,8/14/2016 0:00:00,8/13/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",19.32,6.9,2756,10/15/2016 11:37:00,6/20/2017 22:06:00,"713,713"
40408907,SINAR BERLIAN,4/14/2017 0:00:00,4/13/2018 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",21,7.2,841,4/12/2017 1:31:00,6/20/2017 22:36:00,"713, 712,713, 712"
40408908,BANGKIT SANTOSO,7/30/2016 0:00:00,7/29/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",23.54,7.44,5745,8/28/2016 1:12:00,5/31/2017 12:32:00,"712, 713,712, 713"
40408909,HASIL SAMUDRA,11/27/2016 0:00:00,11/26/2017 0:00:00,Transporter,17,6.75,3039,9/20/2016 0:32:00,5/29/2017 22:49:00,
40408910,HARAPAN SRI JAYA,5/13/2016 0:00:00,5/12/2017 0:00:00,Lampara Seine Nets,14.05,5.8,641,2/21/2017 1:50:00,4/27/2017 23:10:00,"712, 713"
40408910,KM Harapan Sri Jaya,5/13/2016 0:00:00,5/12/2017 0:00:00,Purse Seine Small Pelagics,14.05,5.8,5551,12/10/2015 7:58:00,6/20/2017 23:47:00,"712, 713"
40408911,40408911,11/18/2014 0:00:00,11/17/2015 0:00:00,Purse Seine Small Pelagics,23.7,5.6,1,9/28/2015 1:17:00,9/28/2015 1:17:00,718
40408912,NANDO JAYA,4/6/2017 0:00:00,4/5/2018 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",23.25,6.46,109,2/21/2017 1:51:00,6/20/2017 13:31:00,"711,711"
40408913,PALEMBANG INDAH - V,2/4/2016 0:00:00,2/3/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",23.9,7.01,15611,12/10/2015 6:38:00,4/25/2017 6:57:00,"711,711"
