transmitter_no,shipname,a_raw_registered_gear_type,Engine Power,Company,Engine Brand
31060998,BAHARI NUSANTARA -25,Longline Tuna,370,I KADEK SUGIANTARA,NISSAN
31061002,MAKMUR ABADI 1,Longline Tuna,280,BUDI,NISSAN
31061002,MAKMUR ABADI -I,Longline Tuna,280,BUDI,NISSAN
31061002,01072268SKYECF9,Longline Tuna,280,BUDI,NISSAN
31070031,HASIL JAYA,Longline Tuna,#N/A,#N/A,#N/A
31070033,UNION II,Longline Tuna,#N/A,#N/A,#N/A
31070033,01070033SKY5552,Longline Tuna,#N/A,#N/A,#N/A
31070033,UNION -II,Longline Tuna,#N/A,#N/A,#N/A
31070040,ARTHA SAMUDERA -A,Purse Seine Big Pelagics with one boat,420,SUGIANTO,NISSAN
31070040,ARTHA SAMUDERA A,Purse Seine Big Pelagics with one boat,420,SUGIANTO,NISSAN
31070082,TANJUNG PERMATA II,Longline Tuna,#N/A,#N/A,#N/A
31072262,SIDO UNGGUL JAYA I,Longline Tuna,370,KILAT MANDIRI JAYA,NISSAN
31072271,MITRA JAYA V,Longline Tuna,#N/A,#N/A,#N/A
31072271,MITRA JAYA -V,Longline Tuna,#N/A,#N/A,#N/A
31072272,TRI JAYA -28,Purse Seine Big Pelagics with one boat,420,TRI JAYA MAKMUR,NISSAN
31072292,MITRA JAYA III,Longline Tuna,300,WILLY SANTOSO,MITSUBISHI
31072292,MITRA  JAYA III,Longline Tuna,300,WILLY SANTOSO,MITSUBISHI
31072305,AGRA JAYA -I,Longline Tuna,#N/A,#N/A,#N/A
31076445,INFINITY 9,Purse Seine Big Pelagics with one boat,420,SUGIARTO SURYA,MITSUBISHI
31076521,01076521SKY340A,Purse Seine Big Pelagics with one boat,420,FENDY WIJAYA,NISSAN
31076521,REAL ANSON,Purse Seine Big Pelagics with one boat,420,FENDY WIJAYA,NISSAN
31076524,CITRA EXPRESS -02,Purse Seine Big Pelagics with one boat,370,YUNUS,NISSAN
31085979,MARCEL JAYA -09,Purse Seine Big Pelagics with one boat,420,MARCELINDO CITRA LESTARI,NISSAN
31110315,REJEKI MELIMPAH -8,Longline Tuna,290,DEBORA JULIATI,NISSAN
31129869,REJEKI TERANG -A,Longline Tuna,180,SUPARTO,MITSUBISHI
31137572,PELANGI SAMUDRA 2,Longline Tuna,370,DONNY HERVIS,NISSAN
31177127,JASA NELAYAN,Purse Seine Small Pelagics,380,SUGIANTO,NISSAN
40408049,SINAR MESTIKA MULIA,Purse Seine Big Pelagics with one boat,370,SUMBER MESTIKA DAVINDO,MITSUBISHI
40408050,PRIMA HASIL SAMUDERA,Purse Seine Big Pelagics with one boat,370,INTI MARINA PRATAMA,NISSAN
40408352,SUKSES MAJU 5,Purse Seine Big Pelagics with one boat,360,HENDRY WIJAYA,CUMMINS
40408353,OPTIMUS,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
40408369,SUMAN JAYA PERKASA - XV,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
40408421,ARABIKA JAYA,Transporter,280,OEY GIOK HWA,NISSAN
40408426,HASIL LAUT -53,Longline Tuna,#N/A,#N/A,#N/A
40408499,TRIJAYA -11,Purse Seine Big Pelagics with one boat,420,TRI JAYA MAKMUR,NISSAN
40408654,HASIL LAUT -21,Longline Tuna,#N/A,#N/A,#N/A
40408656,HASIL LAUT -62,Transporter,370,KENT HASIL LAUT,NISSAN
40408756,FACIFIC MEMORY,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
40408766,HASIL LAUT -20,Longline Tuna,#N/A,#N/A,#N/A
40408859,HASIL LAUT -32,Longline Tuna,220,KENT HASIL LAUT,HINO
40408860,S8860,Purse Seine Small Pelagics,#N/A,#N/A,#N/A
40408860,CITRA KARYA,Purse Seine Small Pelagics,#N/A,#N/A,#N/A
40408863,HASIL MELIMPAH III A,Transporter,370,BERKAH MELIMPAH JAYA,NISSAN
