flag,ffa_vid,vessel_name,ircs,mmsi,uvi_imo_number,vessel_type,length,tonnage,engine_power,crew
China,34893.0,SHEN LIAN CHENG 901,BZXC6,412695180.0,8655655.0,Longline,24.0,102.0,400.0,10.0
Panama,34895.0,YUNG DA FA 108,3EAX9,355513e3,9016076.0,Fish Carrier,117.82,5024.0,5369.04,23.0
China,34896.0,TIAN HUA,BZSJ4,412689320.0,9270414.0,Longline,29.3,225.0,400.0,17.0
Fiji,34897.0,HANGTON 2,3DXK,NA,8648872.0,Longline,29.3,225.0,400.0,17.0
Republic of Vanuatu,34904.0,TALOFA,YJRZ7,577082e3,8223311.0,Fish Carrier,107.88,4394.0,3290.7741,18.0
Fiji,34910.0,SOLANDER VI,3DVS,520112e3,8653176.0,Longline,25.93,102.0,375.0,10.0
Fiji,34911.0,SOLANDER IX,3DWW,520088e3,8972118.0,Longline,33.3,113.0,460.0,10.0
Federated States of Micronesia,34915.0,QUEEN ANNE 959,V6PQA959,553111755.0,9268899.0,Single Purse Seine,70.59,1280.0,2353.596,38.0
Taiwan,34930.0,GLORY,BI2532,416084500.0,8664814.0,Longline,59.2,623.0,1176.798,30.0
Republic of Vanuatu,34931.0,YUH CHANG NO.1,YJSJ7,576753e3,NA,Longline,23.8,93.18,558.97905,12.0
Taiwan,34932.0,YUH CHANG NO.6,BJ4715,416102500.0,NA,Longline,27.32,84.89,335.565,12.0
Republic of Vanuatu,34933.0,YUH CHANG NO.2,YJSJ8,576754e3,NA,Longline,23.8,93.18,558.97905,12.0
Taiwan,34934.0,YUH CHANG NO.3,BJ4712,416101900.0,NA,Longline,27.32,93.18,558.97905,12.0
United States of America,34939.0,OCEAN ENCOUNTER,WDD9182,367304850.0,8996281.0,Single Purse Seine,70.52894736842106,1517.0,2345.2892763157893,39.73684210526316
China,34940.0,SHEN LIAN CHENG 709,BZXC9,412698190.0,8655447.0,Longline,27.17,105.0,335.22222222222223,10.0
China,34941.0,HUA NAN YU 701,BZXC2,412698150.0,8667531.0,Longline,27.17,105.0,355.0,10.0
China,34942.0,SHEN LIAN CHENG 706,BZXC12,416298160.0,8663080.0,Longline,27.17,105.0,198.599999999999,10.0
China,34943.0,SHEN LIAN CHENG 707,BZXC7,416298170.0,86655617.0,Longline,27.17,105.0,198.599999999999,10.0
China,34944.0,SHEN LIAN CHENG 708,BZXC8,412698180.0,8655629.0,Longline,27.17,105.0,305.0,10.0
Federated States of Micronesia,34949.0,CLEARWATER 5,V6P219,510013e3,8663224.0,Longline,25.5,113.0,500.0,10.0
Federated States of Micronesia,34950.0,CLEARWATER 6,V6P220,510014e3,8663236.0,Longline,25.5,113.0,372.85,10.0
Papua New Guinea,34951.0,CAMIA 888,P2V5056,553111256.0,7903598.0,Single Purse Seine,56.45,535.04,1938.8200000000002,23.0
Papua New Guinea,34957.0,MAX 101,P2V5608,553111740.0,8996293.0,Single Purse Seine,70.59,1280.0,2353.596,35.0
Fiji,34959.0,LADY AMA,3DN6572,NA,NA,Longline,18.1,40.0,650.0,10.0
Taiwan,34966.0,SAN SHENG FA NO.3,BJ4737,416193900.0,NA,Longline,23.0,79.45,745.7,11.0
Marshall Islands,34974.0,KOO'S 108,V7EF3,538060006.0,9289219.0,Single Purse Seine,61.85,1152.0,2386.2400000000002,28.0
Federated States of Micronesia,34976.0,CLEARWATER 3,V6P218,510012e3,8663212.0,Longline,25.5,113.0,372.85,10.0
China,34982.0,LU RONG YUAN YU 19,BZSI4,412690490.0,8749690.0,Longline,34.0,140.0,220.0,12.0
China,34983.0,LU RONG YUAN YU 20,BZSI5,412690510.0,8749705.0,Longline,34.0,140.0,164.054,12.0
South Korea,34987.0,ORYONG NO.731,DTAD4,44092e4,8920919.0,Longline,56.3,383.0,894.84,25.0
Fiji,34988.0,WIN STAR 1,3DXG,NA,9274422.0,Longline,30.3,131.0,237.0,12.0
Fiji,34989.0,WIN STAR 2,3DXH,NA,9275e3,Longline,30.3,131.0,260.995,12.0
China,34996.0,ZHONG SHUI 602,BYLQ5,412687090.0,8650071.0,Longline,26.26,119.0,235.4,9.0
China,34997.0,ZHONG SHUI 606,BYMQ2,412687120.0,8628872.0,Longline,26.26,119.0,235.4,9.0
China,34998.0,ZHONG SHUI 607,BYMQ3,412687130.0,8628884.0,Longline,26.26,119.0,235.4,9.0
China,35e3,ZHONG SHUI 619,BYWB5,412687180.0,8650112.0,Longline,25.5,115.0,237.0,9.0
South Korea,35001.0,LAKE GLORY,DSOC6,440523e3,8204597.0,Fish Carrier,118.92,5122.0,5219.9000000000005,20.0
Japan,35005.0,KOSHIN MARU NO.18,NA,432378e3,NA,Longline,23.5,19.0,736.0,10.0
Taiwan,35007.0,HUNG SENG,BI2560,416123900.0,8651403.0,Longline,55.75,568.0,1043.98,29.0
China,35015.0,QING YUAN YU 001,BZZP,412679230.0,8662622.0,Longline,59.2,698.0,1176.0,31.0
Japan,35017.0,IROHA MARU,NA,NA,NA,Longline,15.32,19.98,139.7447625,10.0
China,35019.0,FENG XIANG 818,BZU8K,412439604.0,8996176.0,Single Purse Seine,72.37,1152.0,2574.0,39.5
Taiwan,35022.0,SHANG SHUN NO.112,BI2375,416822e3,8648602.0,Longline,54.85,711.0,1043.98,24.0
Taiwan,35023.0,LUNG SOON NO.886,BI2525,416353e3,8648640.0,Longline,59.2,628.0,1029.69825,32.0
United States of America,35025.0,AMERICAN EAGLE,WDD9994,367318980.0,8974398.0,Single Purse Seine,89.21,2310.0,3309.7443749999998,35.0
Papua New Guinea,35041.0,CHERRY BLOSSOMS 88,P2V5068,NA,8122775.0,Single Purse Seine,61.51,349.0,1938.8200000000002,23.0
Fiji,35047.0,SAM WEON NO.11,3DZN,NA,NA,Longline,27.15,79.0,551.6240625,15.0
Republic of Kiribati,35049.0,HAI SOON 26,T3JF2,529632e3,9058804.0,Bunker,105.0,3338.0,3353.0,25.0
China,35060.0,SHUN FA 8,BZU6K,412439605.0,9289221.0,Single Purse Seine,61.94,1280.0,2353.596,32.0
Panama,35064.0,YUNG DA FA 101,HPQB,3711e5,8508840.0,Fish Carrier,82.82,2436.0,1912.0,19.0
United States of America,35066.0,AMERICAN ENTERPRISE,WDE3560,367340920.0,9294628.0,Single Purse Seine,79.53736842105263,2310.0,3309.7443749999998,35.26315789473684
Federated States of Micronesia,35071.0,QUEEN ELIZABETH 959,V6PQE959,510074e3,8996308.0,Single Purse Seine,79.46,2026.0,3309.7443749999998,38.0
Japan,35072.0,WAKABA MARU NO.5,JHRG,43241e4,9281097.0,Single Purse Seine,64.07,1183.0,2942.0,24.0
Taiwan,35078.0,LIEN SHENG YI,BK4757,416003505.0,NA,Longline,19.23,39.58,335.565,8.0
Fiji,35079.0,YONG XING 3,3DXZ,NA,8749676.0,Longline,34.0,136.0,220.0,15.0
Fiji,35080.0,ZHONG DA 2,3DYA,NA,8748957.0,Longline,32.8421052631579,136.0,219.9815,13.0
Fiji,35081.0,YONG XING 1,3DYB,520076e3,8749963.0,Longline,34.0,136.0,220.0,15.0
Fiji,35082.0,YONG XING 2,3DYC,NA,8749987.0,Longline,30.45,136.0,220.0,15.0
United States of America,35087.0,SEA BOUNTY,WDE5895,367084e3,8996188.0,Single Purse Seine,62.403684210526315,1415.0,2345.2892763157893,39.73684210526316
Taiwan,35089.0,YUN FA NO.32,BK7108,416002933.0,NA,Longline,17.08,37.57,447.42,8.0
United States of America,35107.0,SEA DEFENDER,WDD8934,368046e3,8996190.0,Single Purse Seine,72.37,1415.0,2345.2892763157893,39.73684210526316
Papua New Guinea,35108.0,ATUN STA,P2V5621,553111756.0,8996097.0,Single Purse Seine,89.21,2386.0,3309.7443749999998,25.0
United States of America,35109.0,OCEAN GALAXY,WDE5890,36602e4,8996310.0,Single Purse Seine,70.59,1517.0,2345.2892763157893,39.73684210526316
Federated States of Micronesia,35110.0,MISS LUEN,V6P1833,510038e3,NA,Longline,22.44,136.0,492.16200000000003,10.0
China,35113.0,HU YU 915,BIWD,412691550.0,8648975.0,Longline,29.2,157.0,407.0,12.0
China,35114.0,HU YU 913,BIWC,412691540.0,8648963.0,Longline,29.2,157.0,407.0,12.0
Panama,35121.0,EITA MARU,HPLA,354683e3,9109287.0,Fish Carrier,88.94,2581.0,1470.9975,22.0
Republic of Vanuatu,35122.0,FONG SEONG NO.668,YJUD2,576905e3,8996102.0,Single Purse Seine,89.21,2386.0,3309.7443749999998,35.0
Taiwan,35131.0,GOANG SHING LIH NO.6,BJ4759,416002142.0,NA,Longline,23.6,68.08,406.4065,9.0
Taiwan,35134.0,SHENG CHI HUEI NO.12,BK6602,416002766.0,NA,Longline,22.0,49.56,335.565,10.0
Taiwan,35138.0,CHIN YUNG WEN,BI2493,416623e3,8647414.0,Longline,55.9,535.0,894.84,26.0
South Korea,35143.0,CHERRY STAR,DSNK2,441377e3,9015840.0,Fish Carrier,103.6,3919.0,3603.943875,20.0
Panama,35148.0,IRIS REEFER,3FGM3,374321e3,8513039.0,Fish Carrier,126.0,5578.0,5251.0,18.0
Fiji,35149.0,HANGTON 7,3DUU,NA,8648901.0,Longline,28.95,114.0,330.0,12.0
Fiji,35150.0,HANGTON 8,3DUV,NA,8648913.0,Longline,28.95,114.0,330.0,13.0
South Korea,35152.0,ORYONG NO.371,DTBN9,441374e3,8904020.0,Longline,56.7,419.0,745.7,25.0
Japan,35155.0,GENPUKU MARU NO.81,JDSN,432438e3,9296896.0,Single Purse Seine,64.45,1092.0,2942.0,24.0
Federated States of Micronesia,35165.0,TAIYO POHNPEI,V6PTP,510054e3,8603755.0,Single Purse Seine,79.35,1788.0,2794.0,30.0
Taiwan,35172.0,CHING CHUEN FA 10,BJ4411,416002888.0,NA,Longline,22.5,54.23,432.50600000000003,8.0
China,35190.0,HU YU 911,BIWA,412691520.0,8648937.0,Longline,31.021428571428572,164.0,418.54857142857145,13.285714285714286
China,35191.0,HU YU 912,BIWB,412691530.0,8648949.0,Longline,34.2,164.0,418.54857142857145,13.285714285714286
China,35203.0,HU YU 916,BIWE,412694520.0,8648987.0,Longline,29.8,150.0,407.0,12.0
Taiwan,35206.0,SHENG YI SHING NO.20,BJ3889,416000382.0,NA,Longline,22.59,62.58,406.4065,9.0
Fiji,35213.0,WINFULL 102,3DWQ,520195e3,NA,Longline,32.16,79.0,351.0,8.0
Republic of Vanuatu,35217.0,JUI DER NO.36,YJUB3,57689e4,8977625.0,Longline,46.77,558.0,894.84,22.0
Fiji,35222.0,SUNSHINE 801,3DNY,52015e4,8748933.0,Longline,40.0,198.0,330.0,13.0
Fiji,35223.0,SUNSHINE 802,3DNZ,520151e3,874904.0,Longline,40.0,198.0,330.0,15.0
Taiwan,35227.0,YANG SHUN NO.8,BH3368,416142600.0,8629254.0,Longline,41.0,363.0,745.7,28.0
Taiwan,35228.0,SHANG SHUN NO.168,BI2527,NA,8648626.0,Longline,58.8,660.0,1104.7054464285716,32.0
Taiwan,35229.0,HONG YI,BH3233,416008800.0,8652304.0,Longline,52.65,496.0,820.27,30.0
Taiwan,35234.0,HONG SHING,BEMW,NA,8652407.0,Longline,56.9,725.75,969.4100000000001,27.0
Taiwan,35236.0,LI CHYUN 2,BI2376,NA,8431073.0,Longline,56.3,717.0,1043.98,30.0
China,35250.0,SHEN LIAN CHENG 720,BZXC14,412658760.0,NA,Longline,32.28,97.0,220.0,10.0
China,35251.0,SHEN LIAN CHENG 719,BZXC13,412658750.0,NA,Longline,32.28,97.0,220.0,10.0
Fiji,35257.0,BEN 10,3DSS,NA,NA,Longline,34.0,144.0,330.0,13.0
United States of America,35259.0,FRIESLAND,WDE6789,303137e3,9018880.0,Single Purse Seine,88.39,2437.684210526316,3355.65,29.894736842105264
Taiwan,35262.0,NEW FAIR WELL NO.707,BL2127,416004831.0,8996346.0,Single Purse Seine,70.59,1288.0,2386.2400000000002,38.0
Taiwan,35268.0,CHIEN CHANG NO.226,BI2524,416342e3,9223576.0,Longline,56.49,520.0,1029.69825,25.0
Taiwan,35269.0,CHIEN CHANG NO.326,BI2536,416091900.0,8749468.0,Longline,59.2,697.0,1193.1200000000001,30.0
Taiwan,35287.0,JINN FWU TSAIR NO.12,BK6151,41600201.0,NA,Longline,13.12,31.96,335.565,7.0
China,35299.0,XIN SHI JI NO.87,BZUZ5,412993e3,8651271.0,Longline,53.95,497.0,735.0,26.0
Philippines,35301.0,MISTLETOE 888,DUL6384,NA,7639939.0,Single Purse Seine,51.6,480.51,1389.9848,23.0
Japan,35306.0,HAKKO MARU NO.2,7JAB,432487e3,9326251.0,Single Purse Seine,63.24,1094.0,2353.0,24.0
United States of America,35317.0,ADELITA,WDA6355,36906e4,8976982.0,Longline,89.5,148.0,298.28000000000003,7.0
China,35319.0,XIN SHI JI NO.7,BZUS5,412985e3,8651233.0,Longline,56.4,497.0,894.84,26.0
Japan,35334.0,KINSAI MARU NO.68,JDXV,431206e3,9185358.0,Longline,56.17,396.0,1441.57755,22.0
Marshall Islands,35335.0,KOO'S 101,V7HB9,538060007.0,9348120.0,Single Purse Seine,72.37,1152.0,2237.1,29.0
Russian Federation,35337.0,EKATERINA,UBZH8,273353640.0,8603171.0,Fish Carrier,116.57,4148.0,3309.7443749999998,21.0
Marshall Islands,35339.0,KOO'S 102,V7HC2,538060008.0,8924379.0,Single Purse Seine,72.37,1152.0,2237.1,29.0
Japan,35345.0,INARI MARU NO.85,42376.000000,432507e3,9326263.0,Pole and Line,57.12,499.0,1470.9975,32.0
Taiwan,35355.0,LONG JIA MING NO.6,BJ4823,NA,NA,Longline,29.7,98.0,745.7,15.0
China,35356.0,LU RONG YUAN YU 25,BBKF,412326560.0,8628470.0,Longline,36.0,148.0,330.0,12.0
China,35357.0,LU RONG YUAN YU 26,BBKO,412326570.0,8628482.0,Longline,34.0,143.0,330.0,12.0
Taiwan,35360.0,CHIN YOU MING,BI2576,416232500.0,8947230.0,Longline,57.6,643.0,1193.1200000000001,30.0
Republic of Vanuatu,35364.0,SUNG HUI,YJSW4,57685e4,8947462.0,Longline,55.75,498.0,2087.96,28.0
Republic of Vanuatu,35365.0,YUH PAO NO.12,YJUN9,576987e3,NA,Longline,23.8,93.18,558.97905,12.0
Taiwan,35368.0,CHYUAN YEOU TSAIR NO.1,BK7481,416002526.0,NA,Longline,20.35,40.76,406.4065,9.0
Panama,35372.0,SYOTA MARU,H9NZ,529485e3,9087908.0,Fish Carrier,120.75,4491.0,2231.8801000000003,22.0
China,35374.0,XIN YA NO.8,BZXH5,412696980.0,8683509.0,Longline,31.0,142.0,258.0,12.0
China,35375.0,XIN YA NO.9,BZXH6,412696990.0,NA,Longline,31.0,142.0,258.0,12.0
Republic of Vanuatu,35378.0,HSIANG SHUN,YJSR6,576811e3,9211092.0,Longline,170.08,558.0,894.84,24.0
Philippines,35381.0,BERNADETTE MARIE,4DET2,NA,NA,Fish Carrier,75.77,1463.0,1342.28,21.0
Fiji,35387.0,WIN FULL 168,3DXP,57025e4,7818602.0,Longline,39.28,375.0,625.1739375,18.0
Taiwan,35391.0,FURE MAAN CHYUN 56,BJ4796,416002363.0,NA,Longline,26.1,75.68,447.42,10.0
Panama,35392.0,SHIN HO CHUN NO.102,3FEQ5,37414e4,9262182.0,Fish Carrier,95.2,2900.0,2460.81,34.0
South Korea,35393.0,SEI SHIN,DSOP5,441032e3,8808161.0,Fish Carrier,86.33,978.0,4118.793,20.0
Taiwan,35397.0,JINN YNG LIH,BK6856,416002481.0,NA,Longline,21.0,48.33,406.4065,8.0
Panama,35403.0,SHIN HO CHUN NO.101,3FRF9,374048e3,9220653.0,Fish Carrier,95.2,2495.0,2460.81,30.0
South Korea,35406.0,PHAROSTAR,D7PK,538002899.0,9087910.0,Fish Carrier,120.75,4490.0,2993.4799125,19.0
Taiwan,35413.0,LUNG SOON NO.116,BI2575,416164600.0,8648614.0,Longline,56.0,530.0,1029.69825,30.0
Philippines,35420.0,FV FRANCESCA LT,DUL6023,548363100.0,8223983.0,Fish Carrier,78.0,1542.56,1938.84999999999,22.0
Japan,35440.0,OTOSHIRO MARU NO.31,7JBH,432549e3,9386782.0,Single Purse Seine,69.37,1338.0,2794.0,24.0
Philippines,35443.0,TANGERINE 88,DUA6538,NA,7931674.0,Fish Carrier,83.7,1792.0,1544.0,22.0
Taiwan,35444.0,FU YUAN NO.1,BI2581,416168500.0,8652213.0,Longline,59.2,627.0,1176.798,31.0
Marshall Islands,35445.0,AMAGI,V7NH7,538002960.0,9170963.0,Fish Carrier,95.95,2782.0,2684.52,23.0
South Korea,35454.0,OCEAN ACE,DTBQ5,441024e3,9386665.0,Single Purse Seine,74.51,2023.0,3728.5,22.0
Panama,35468.0,NEW TAKATSUKI,3EFN9,355802e3,9015838.0,Fish Carrier,120.7,4446.0,4175.92,26.0
Taiwan,35476.0,FONG KUO 866,BL2095,416411e3,8748646.0,Single Purse Seine,72.37,1179.0,2353.596,35.0
China,35477.0,SUI YUAN YU 21,BZWA21,412694550.0,8669943.0,Longline,29.98,150.0,407.0,12.0
China,35478.0,SUI YUAN YU 25,BZWA25,412694580.0,8670071.0,Longline,29.98,150.0,407.0,12.0
China,35479.0,SUI YUAN YU 26,BZWA26,412694590.0,8669967.0,Longline,29.98,150.0,407.0,12.0
China,35480.0,SUI YUAN YU 28,BZWA28,412694610.0,8670083.0,Longline,29.98,150.0,407.0,12.0
Japan,35486.0,TAIYO MARU NO.58,JRII,NA,130903.0,Longline,54.71,379.0,745.7,23.0
Taiwan,35491.0,FU YUAN NO.2,BI2583,416168600.0,8652225.0,Longline,59.2,627.0,1176.798,31.0
Taiwan,35497.0,JIA FENG TSAIR,BK7498,416002124.0,NA,Longline,15.7,41.83,324.3795,9.0
Republic of Kiribati,35499.0,HUA JIAN 1,T3MD,529101e3,7908732.0,Fish Carrier,99.99,3415.0,3309.7443749999998,23.0
Taiwan,35512.0,CHING CHUEN FA NO.2,BK6947,416002514.0,NA,Longline,22.5,48.36,406.4065,8.0
China,35513.0,SHEN LIAN CHENG 711,BZXC16,412699450.0,8655356.0,Longline,29.1,117.0,339.0,10.0
China,35514.0,SHEN LIAN CHENG 713,BZXC18,412699470.0,8655370.0,Longline,29.1,117.0,339.0,10.0
China,35515.0,SHEN LIAN CHENG 712,BZXC17,412699460.0,8655368.0,Longline,29.1,117.0,339.0,10.0
China,35516.0,SHEN LIAN CHENG 710,BZXC15,412699440.0,8655344.0,Longline,29.1,117.0,339.0,10.0
China,35520.0,SHEN GANG FA NO.2,BZXD5,412460299.0,8317253.0,Longline,40.13,404.0,735.0,25.0
Federated States of Micronesia,35521.0,NIPPON FSM,V6PNF,432564e3,9400265.0,Single Purse Seine,75.97,1829.0,2647.0,30.0
Taiwan,35523.0,GREAT OCEAN I,BH3362,NA,8970782.0,Longline,40.0,296.0,745.7,25.0
South Korea,35535.0,LAKE SUCCESS,D7MQ,440196e3,8702630.0,Fish Carrier,85.07,1894.0,1096.9247,18.0
Fiji,35539.0,ZHONG DA 3,3DOP,NA,8748969.0,Longline,35.26315789473684,173.0,330.0,12.0
Fiji,35554.0,SUNSHINE NO.6,3DZB,NA,8749028.0,Longline,36.6,191.0,330.0,13.0
Japan,35562.0,KINEI MARU NO.53,JBAS,443200080.0,9189031.0,Longline,58.02,469.0,735.49875,25.0
Philippines,35570.0,RESTY B.T.,DUTN7,548227100.0,7303724.0,Single Purse Seine,66.9,1534.0,3281.08,26.0
Taiwan,35581.0,JIN JINN YI NO.26,BJ4917,416003089.0,NA,Longline,25.88,99.0,691.0,14.0
Taiwan,35582.0,JIN JINN YI NO.33,BJ4938,416003074.0,NA,Longline,25.0,99.0,745.7,15.0
Taiwan,35587.0,JIN CHIN FU NO.16,BJ4942,NA,NA,Longline,25.5,99.0,976.8670000000001,14.0
Panama,35588.0,SALGIR,3FYM4,355199e3,9142289.0,Fish Carrier,100.72,3767.0,3089.0,20.0
China,35590.0,LU RONG YU SHUI 228,BBLZ2,412324390.0,8647440.0,Longline,30.87,145.0,330.0,14.0
China,35592.0,LU RONG YU 2535,BBLZ,NA,8628755.0,Longline,36.0,145.0,330.0,13.0
China,35593.0,LU RONG YU 2536,BBLZ1,412324380.0,8647438.0,Longline,30.87,145.0,330.0,14.0
Fiji,35598.0,SUNSHINE NO.16,3DZF,NA,8748919.0,Longline,36.6,193.0,382.0,15.0
Panama,35604.0,ANGARA,3FVD,356889e3,9136890.0,Fish Carrier,100.72,3767.0,3089.0,20.0
Panama,35607.0,ISLAND REEFER,HOFG,374831e3,8312461.0,Fish Carrier,110.03,4071.0,4847.05,20.0
Solomon Islands,35611.0,SOLOMON PEARL,H4NK,557000400.0,9211171.0,Single Purse Seine,46.0,718.0,954.4960000000001,22.0
United States of America,35612.0,OCEAN CONQUEST,WDD8838,367767e3,9097343.0,Single Purse Seine,71.79,1416.0,2206.49625,35.0
Panama,35613.0,SEA GLORY II,3FKX4,374115e3,9009695.0,Fish Carrier,120.7,4444.0,4120.0,25.0
China,35614.0,XIN SHI JI 70,BZVY9,412695550.0,8653475.0,Longline,56.5,634.0,735.0,33.0
China,35615.0,XIN SHI JI NO.73,BZVZ4,412695580.0,8649462.0,Longline,56.5,634.0,735.0,33.0
China,35616.0,XIN SHI JI NO.75,BZVZ5,412695590.0,8649474.0,Longline,56.5,634.0,735.0,33.0
China,35617.0,XIN SHI JI 78,BZVZ8,412420109.0,8653528.0,Longline,56.5,634.0,735.0,33.0
Solomon Islands,35620.0,SOLOMON EMERALD,H4NF,557000500.0,9212292.0,Single Purse Seine,46.0,718.0,954.4960000000001,22.0
Taiwan,35622.0,YING JEN NO.366,BI2281,416697e3,NA,Longline,55.26,730.0,894.84,30.0
United States of America,35626.0,SEA QUEST,WDD9174,366903e3,9097355.0,Single Purse Seine,71.79,1416.0,2345.2892763157893,39.73684210526316
China,35627.0,ZHONG RONG 6,BBIR8,413321680.0,8649101.0,Longline,31.93,157.0,330.0,13.0
China,35628.0,ZHONG RONG 5,BBEU1,NA,8649096.0,Longline,31.93,157.0,330.0,17.0
South Korea,35629.0,SL BOGO,DSOZ2,440664e3,8815009.0,Fish Carrier,99.98,3302.0,2941.995,28.0
China,35631.0,XIN SHI JI 77,BZVZ7,412695620.0,8653516.0,Longline,56.5,634.0,548.0895,33.0
South Korea,35634.0,SL ARCHI,DSOR5,44124e4,8712398.0,Fish Carrier,84.36,1488.0,1470.9975,18.0
United States of America,35635.0,OCEAN EXPEDITION,WDD9952,367179e3,9097367.0,Single Purse Seine,71.79,1416.0,2345.2892763157893,39.73684210526316
United States of America,35636.0,OCEAN WARRIOR,WDD9953,367463e3,9097317.0,Single Purse Seine,70.59,1517.0,2345.2892763157893,39.73684210526316
Federated States of Micronesia,35638.0,SLC 721,V6P721,538060011.0,8744872.0,Longline,26.0,129.0,336.0,10.0
Federated States of Micronesia,35639.0,SLC 722,V6P722,538060012.0,8744884.0,Longline,26.0,129.0,336.0,10.0
Federated States of Micronesia,35640.0,SLC 723,V6P723,538060013.0,8744896.0,Longline,29.29,129.0,336.0,10.0
Federated States of Micronesia,35641.0,SLC 725,V6P725,538060014.0,8744901.0,Longline,29.29,129.0,336.0,10.0
China,35646.0,XIN SHI JI 71,BZVZ2,NA,8653487.0,Longline,56.5,634.0,735.0,33.0
United States of America,35647.0,SEA TRADER,WDE2379,338074e3,9097379.0,Single Purse Seine,71.79,1416.0,2345.2892763157893,39.73684210526316
Panama,35648.0,FONG KUO NO.819,3FCY3,37007e4,8913992.0,Fish Carrier,115.0,5131.0,5070.76,20.0
China,35649.0,GUANG SHUN 6,BZWY44,413462010.0,8621032.0,Longline,40.33681818181818,432.0,549.4283275568182,24.0
Japan,35655.0,SHOKI MARU NO.8,NA,431500960.0,NA,Longline,20.0,19.0,139.7447625,10.0
Taiwan,35657.0,KUO RONG NO.136,BJ4912,416221800.0,NA,Longline,25.88,99.0,700.58515,14.0
Taiwan,35658.0,KUO RONG NO.336,BJ4968,416221900.0,NA,Longline,29.7,98.0,618.1853,14.0
Taiwan,35659.0,YU SHUN NO.168,BJ4973,NA,NA,Longline,29.7,98.0,618.1853,18.0
United States of America,35665.0,SEA FOX,WDE2381,338394e3,9097329.0,Single Purse Seine,70.59,1517.0,2345.2892763157893,39.73684210526316
Federated States of Micronesia,35669.0,CITY PRO 1,V6P229,NA,NA,Bunker,42.0,199.0,184.0,10.0
China,35674.0,SHEN GANG SHUN 2,BZXD68,NA,9042661.0,Longline,57.75,619.0,745.7,25.0
United States of America,35675.0,CAPE SAN LUCAS,WDE3676,367333e3,8107139.0,Single Purse Seine,NA,1466.0,2952.972,25.0
China,35676.0,SHEN GANG SHUN 1,BZXD67,NA,9003823.0,Longline,55.45,619.0,745.7,25.0
United States of America,35679.0,OCEAN CHALLENGER,WDE3526,338793e3,9517264.0,Single Purse Seine,69.42,1517.0,2206.49625,35.0
Taiwan,35683.0,HER HAE NO.38,BJ4996,NA,NA,Longline,25.98,75.45,678.587,15.0
Taiwan,35684.0,HER HAE NO.26,BJ4994,416003413.0,NA,Longline,20.93,75.41,678.587,14.0
Philippines,35685.0,MARTINA MARIE,DUTN9,548280100.0,8122799.0,Single Purse Seine,51.0,844.0,1938.84999999999,27.0
Federated States of Micronesia,35687.0,ASIA STAR NO.1,V6P07,510022e3,701.0,Fish Carrier,59.0,496.0,1103.0,14.0
China,35688.0,LU RONG YUAN YU 27,BBZN2,413322680.0,8628494.0,Longline,36.6,190.0,330.0,12.0
China,35689.0,LU RONG YUAN YU 28,BBZN3,413322690.0,8628509.0,Longline,36.6,190.0,330.0,12.0
Japan,35696.0,KINEI MARU NO.158,7JCB,432626e3,9488231.0,Longline,58.57,439.0,735.49875,25.0
China,35699.0,RONG DA YANG 8,BBLZ6,413322620.0,8749975.0,Longline,36.6,190.0,330.0,16.0
Fiji,35701.0,RISING NO.6,3DZL,NA,8748880.0,Longline,36.6,193.0,382.0,13.0
Fiji,35702.0,WINNING NO.6,3DZK,NA,NA,Longline,36.6,193.0,382.0,13.0
Fiji,35704.0,SUNSHINE NO.8,3DZJ,NA,8749937.0,Longline,36.6,193.0,382.0,12.0
United States of America,35711.0,SEA HONOR,WDE4114,367344e3,9517276.0,Single Purse Seine,70.59,1517.0,2345.2892763157893,39.73684210526316
Taiwan,35712.0,JIN FU SHIANG NO.36,BJ4972,NA,NA,Longline,25.0,99.0,745.7,15.0
Taiwan,35714.0,SAN ZAI FA NO.6,BJ4927,NA,NA,Longline,25.0,99.0,745.7,15.0
Cook Islands,35719.0,GRACE,E5U2209,518259e3,7647766.0,Longline,22.1,114.0,345.6844125,7.0
Cook Islands,35720.0,GRACE 1,E5U2210,51826e4,7436753.0,Longline,28.5,128.0,376.57536,7.0
Cook Islands,35721.0,HAI SOON 28,E5U3071,518100126.0,8905397.0,Bunker,105.29,3244.0,2942.0,21.0
South Korea,35722.0,BLUE OCEAN,DTBU5,441446e3,9509396.0,Single Purse Seine,74.51,2023.0,3728.5,22.0
Philippines,35723.0,RITCHIE 813,DUL6815,NA,7126621.0,Fish Carrier,73.72,448.04,1641.0,22.0
Papua New Guinea,35724.0,RED TULIP 888,P2V5278,553111463.0,7409267.0,Single Purse Seine,53.03,1145.1,2143.8875000000003,19.0
Taiwan,35725.0,DONG HORNG NO.222,BG3670,NA,8678463.0,Fish Carrier,30.19,160.0,769.5624,15.0
China,35728.0,LU RONG YUAN YU 29,BBZN4,413322760.0,8628767.0,Longline,36.6,190.0,330.0,12.0
China,35729.0,LU RONG YUAN YU 30,BBZN5,413322770.0,8628779.0,Longline,36.6,190.0,246.08100000000002,11.0
China,35732.0,ZHONG SHUI 701,BZZZ5,41334e4,8628901.0,Longline,36.6,191.0,330.0,13.0
China,35733.0,ZHONG SHUI 702,BZZZ6,NA,8628913.0,Longline,36.6,191.0,330.0,13.0
