ffa_vid,vessel_name,ircs,mmsi,uvi_imo_number,vessel_type,length,tonnage,engine_power,crew
36306.0,YI RONG NO.3,BJ5093,416004409.0,NA,Longline,23.85,98.48,691.0,18.0
36309.0,ZHONG RONG 32,BBCH1,412326882.0,9678343.0,Longline,38.80615384615385,255.0,480.0,13.76923076923077
36310.0,ZHONG RONG 33,BBCH2,412326881.0,9678355.0,Longline,38.80615384615385,255.0,480.0,13.76923076923077
36311.0,RONG TAI 8,BBCH8,412326877.0,9678331.0,Longline,38.80615384615385,255.0,698.0,13.76923076923077
36312.0,LU YUAN 23,BBCH3,NA,9674737.0,Longline,39.9,255.0,698.0,14.0
36313.0,LU YUAN 24,BBCH4,NA,9674749.0,Longline,39.9,255.0,698.0,14.0
36314.0,MING YIH FA NO.3,BJ4858,416002751.0,NA,Longline,25.98,99.0,447.42,14.0
36315.0,NEW FAIR DISCOVERY NO.707,BL2099,416237500.0,9669079.0,Single Purse Seine,70.59,1280.0,2647.7954999999997,40.0
36319.0,RONG DA YANG NO.29,BBGA9,NA,9679701.0,Longline,42.6,336.0,698.0,13.0
36320.0,FONG KUO NO.869,BL2105,416238700.0,9672492.0,Single Purse Seine,71.79,1428.0,2647.7954999999997,40.0
36321.0,SAJO COLUMBIA,DTBN2,NA,9618379.0,Single Purse Seine,79.56,1014.0,3357.8871,29.0
36322.0,YI SHUN,BI2555,416368e3,8664826.0,Longline,59.2,627.0,1188.8883703703705,30.0
36324.0,LU RONG YUAN YU 168,BBDP8,412328783.0,NA,Longline,40.93,206.0,540.0,14.0
36325.0,DOLORES 878,DUM3170,548603400.0,8629137.0,Single Purse Seine,64.7,995.03,2237.139999999991,35.142857142857146
36328.0,GLORY 121,T3QG2,529777e3,9114828.0,Bunker,109.7,5537.0,2460.0,18.0
36336.0,SUAH,HOZZ,356386e3,9000376.0,Fish Carrier,120.7,4444.0,3677.49375,19.0
36339.0,FONG KUO NO.889,BL2106,416238800.0,9674244.0,Single Purse Seine,71.79,1428.0,2647.7954999999997,40.0
36340.0,JIN HUI 8,BIWM,412371181.0,9676187.0,Single Purse Seine,75.47,1640.0,2147.616,34.0
36341.0,FV DISCOVERY 102,4DET8,548487100.0,9676967.0,Single Purse Seine,71.79,1100.0,2647.0,35.0
36351.0,CHYUAN YEOU TSAIR NO.8,BK6500,416003684.0,NA,Longline,21.0,41.63,406.4065,9.0
36352.0,GREEN TUNA 3,3DSV,NA,NA,Longline,40.5,252.78,618.429999999999,16.0
36355.0,ZHONG YANG NO.16,BZXD72,412763490.0,9671747.0,Longline,42.6,317.0,720.0,13.0
36356.0,ZHONG YANG NO.18,BZXD73,413441090.0,9671759.0,Longline,42.6,317.0,720.0,15.0
36357.0,ZHONG YANG NO.19,BZXD74,412460063.0,9671761.0,Longline,42.6,317.0,720.0,15.0
